Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.140000	1.570000	1.570796	0.000000	0.000000	0.000000
 2	1.570000	3.140000	2.355000	0.960963	0.785000	0.000000	3012.292647
 3	2.355000	3.140000	2.747500	0.131614	0.392500	0.285714	0.258840
 4	2.747500	3.140000	2.943750	-0.401886	0.196250	0.133333	0.574330
 5	2.747500	2.943750	2.845625	-0.126550	-0.098125	0.068966	0.701424
 6	2.747500	2.845625	2.796563	0.004802	-0.049062	-0.035088	0.770075
 7	2.796563	2.845625	2.821094	-0.060321	0.024531	-0.017391	0.813057
 8	2.796563	2.821094	2.808828	-0.027619	-0.012266	0.008734	0.842501
 9	2.796563	2.808828	2.802695	-0.011373	-0.006133	-0.004376	0.863931
10	2.796563	2.802695	2.799629	-0.003277	-0.003066	-0.002191	0.880229
11	2.796563	2.799629	2.798096	0.000765	-0.001533	-0.001096	0.893039
12	2.798096	2.799629	2.798862	-0.001255	0.000767	-0.000548	0.903375
13	2.798096	2.798862	2.798479	-0.000245	-0.000383	0.000274	0.911888
14	2.798096	2.798479	2.798287	0.000260	-0.000192	-0.000137	0.919023
15	2.798287	2.798479	2.798383	0.000008	0.000096	-0.000068	0.925089
16	2.798383	2.798479	2.798431	-0.000119	0.000048	0.000034	0.930310
17	2.798383	2.798431	2.798407	-0.000056	-0.000024	0.000017	0.934850
18	2.798383	2.798407	2.798395	-0.000024	-0.000012	-0.000009	0.938835
19	2.798383	2.798395	2.798389	-0.000008	-0.000006	-0.000004	0.942361
20	2.798383	2.798389	2.798386	-0.000000	-0.000003	-0.000002	0.945502
21	2.798383	2.798386	2.798385	0.000004	-0.000001	-0.000001	0.948318
22	2.798385	2.798386	2.798385	0.000002	0.000001	-0.000001	0.950858
23	2.798385	2.798386	2.798386	0.000001	0.000000	0.000000	0.953160
24	2.798386	2.798386	2.798386	0.000000	0.000000	0.000000	0.955256
