Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.140000	1.570000	-7.545641	0.000000	0.000000	0.000000
 2	0.000000	1.570000	0.785000	-1.013651	-0.785000	0.000000	3012.292647
 3	0.000000	0.785000	0.392500	0.342790	-0.392500	-2.000000	0.258840
 4	0.392500	0.785000	0.588750	-0.229136	0.196250	-0.666667	0.574330
 5	0.392500	0.588750	0.490625	0.080683	-0.098125	0.400000	0.701424
 6	0.490625	0.588750	0.539687	-0.067949	0.049063	-0.181818	0.770075
 7	0.490625	0.539687	0.515156	0.007896	-0.024531	0.095238	0.813057
 8	0.515156	0.539687	0.527422	-0.029639	0.012266	-0.046512	0.842501
 9	0.515156	0.527422	0.521289	-0.010776	-0.006133	0.023529	0.863931
10	0.515156	0.521289	0.518223	-0.001416	-0.003066	-0.011834	0.880229
11	0.515156	0.518223	0.516689	0.003246	-0.001533	-0.005935	0.893039
12	0.516689	0.518223	0.517456	0.000916	0.000767	-0.002963	0.903375
13	0.517456	0.518223	0.517839	-0.000249	0.000383	0.001480	0.911888
14	0.517456	0.517839	0.517648	0.000334	-0.000192	0.000740	0.919023
15	0.517648	0.517839	0.517744	0.000042	0.000096	-0.000370	0.925089
16	0.517744	0.517839	0.517791	-0.000104	0.000048	0.000185	0.930310
17	0.517744	0.517791	0.517767	-0.000031	-0.000024	0.000093	0.934850
18	0.517744	0.517767	0.517756	0.000006	-0.000012	-0.000046	0.938835
19	0.517756	0.517767	0.517761	-0.000013	0.000006	-0.000023	0.942361
20	0.517756	0.517761	0.517759	-0.000003	-0.000003	0.000012	0.945502
21	0.517756	0.517759	0.517757	0.000001	-0.000001	-0.000006	0.948318
22	0.517757	0.517759	0.517758	-0.000001	0.000001	-0.000003	0.950858
23	0.517757	0.517758	0.517757	-0.000000	-0.000000	0.000001	0.953160
24	0.517757	0.517757	0.517757	0.000001	-0.000000	-0.000001	0.955256
