Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.000000	1.500000	-6.437500	0.000000	0.000000	0.000000
 2	1.500000	3.000000	2.250000	13.378906	0.750000	0.000000	2474.475497
 3	1.500000	2.250000	1.875000	0.484619	-0.375000	0.400000	0.293305
 4	1.500000	1.875000	1.687500	-3.578354	-0.187500	-0.222222	0.585928
 5	1.687500	1.875000	1.781250	-1.714263	0.093750	-0.105263	0.707177
 6	1.781250	1.875000	1.828125	-0.658887	0.046875	0.051282	0.773501
 7	1.828125	1.875000	1.851562	-0.098433	0.023438	0.025316	0.815329
 8	1.851562	1.875000	1.863281	0.190232	0.011719	0.012579	0.844116
 9	1.851562	1.863281	1.857422	0.045189	-0.005859	0.006309	0.865139
10	1.851562	1.857422	1.854492	-0.026799	-0.002930	-0.003160	0.881165
11	1.854492	1.857422	1.855957	0.009150	0.001465	-0.001579	0.893787
12	1.854492	1.855957	1.855225	-0.008836	-0.000732	0.000790	0.903985
13	1.855225	1.855957	1.855591	0.000155	0.000366	-0.000395	0.912396
14	1.855225	1.855591	1.855408	-0.004341	-0.000183	0.000197	0.919453
15	1.855408	1.855591	1.855499	-0.002094	0.000092	-0.000099	0.925457
16	1.855499	1.855591	1.855545	-0.000970	0.000046	0.000049	0.930628
17	1.855545	1.855591	1.855568	-0.000408	0.000023	0.000025	0.935128
18	1.855568	1.855591	1.855579	-0.000127	0.000011	0.000012	0.939080
19	1.855579	1.855591	1.855585	0.000014	0.000006	0.000006	0.942578
20	1.855579	1.855585	1.855582	-0.000056	-0.000003	0.000003	0.945697
21	1.855582	1.855585	1.855584	-0.000021	0.000001	-0.000002	0.948494
22	1.855584	1.855585	1.855584	-0.000004	0.000001	0.000001	0.951016
23	1.855584	1.855585	1.855585	0.000005	0.000000	0.000000	0.953304
24	1.855584	1.855585	1.855585	0.000001	-0.000000	0.000000	0.955387
