Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.000000	1.500000	1.276870	0.000000	0.000000	0.000000
 2	0.000000	1.500000	0.750000	0.277633	-0.750000	1994997502	-2050.404947
 3	0.000000	0.750000	0.375000	-0.312289	-0.375000	-2.000000	0.293305
 4	0.375000	0.750000	0.562500	-0.007283	0.187500	-0.666667	0.585928
 5	0.562500	0.750000	0.656250	0.137457	0.093750	0.285714	0.707177
 6	0.562500	0.656250	0.609375	0.065684	-0.046875	0.153846	0.773501
 7	0.562500	0.609375	0.585938	0.029354	-0.023438	-0.080000	0.815329
 8	0.562500	0.585938	0.574219	0.011074	-0.011719	-0.040816	0.844116
 9	0.562500	0.574219	0.568359	0.001905	-0.005859	-0.020619	0.865139
10	0.562500	0.568359	0.565430	-0.002686	-0.002930	-0.010363	0.881165
11	0.565430	0.568359	0.566895	-0.000390	0.001465	-0.005168	0.893787
12	0.566895	0.568359	0.567627	0.000758	0.000732	0.002581	0.903985
13	0.566895	0.567627	0.567261	0.000184	-0.000366	0.001291	0.912396
14	0.566895	0.567261	0.567078	-0.000103	-0.000183	-0.000646	0.919453
15	0.567078	0.567261	0.567169	0.000041	0.000092	-0.000323	0.925457
16	0.567078	0.567169	0.567123	-0.000031	-0.000046	0.000161	0.930628
17	0.567123	0.567169	0.567146	0.000005	0.000023	-0.000081	0.935128
18	0.567123	0.567146	0.567135	-0.000013	-0.000011	0.000040	0.939080
19	0.567135	0.567146	0.567141	-0.000004	0.000006	-0.000020	0.942578
20	0.567141	0.567146	0.567143	0.000000	0.000003	0.000010	0.945697
21	0.567141	0.567143	0.567142	-0.000002	-0.000001	0.000005	0.948494
22	0.567142	0.567143	0.567143	-0.000001	0.000001	-0.000003	0.951016
23	0.567143	0.567143	0.567143	-0.000000	0.000000	0.000001	0.953304
24	0.567143	0.567143	0.567143	-0.000000	0.000000	0.000001	0.955387
