Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.144000	1.572000	0.072001	0.000000	0.000000	0.000000
 2	0.000000	1.572000	0.786000	-0.421532	-0.786000	0.000000	inf
 3	0.786000	1.572000	1.179000	-0.245225	0.393000	-0.666667	0.257829
 4	1.179000	1.572000	1.375500	-0.105490	0.196500	0.285714	0.573997
 5	1.375500	1.572000	1.473750	-0.021545	0.098250	0.133333	0.701261
 6	1.473750	1.572000	1.522875	0.024023	0.049125	0.064516	0.769977
 7	1.473750	1.522875	1.498312	0.000938	-0.024563	0.032787	0.812993
 8	1.473750	1.498312	1.486031	-0.010378	-0.012281	-0.016529	0.842455
 9	1.486031	1.498312	1.492172	-0.004739	0.006141	-0.008230	0.863897
10	1.492172	1.498312	1.495242	-0.001905	0.003070	0.004107	0.880202
11	1.495242	1.498312	1.496777	-0.000485	0.001535	0.002051	0.893018
12	1.496777	1.498312	1.497545	0.000227	0.000768	0.001025	0.903357
13	1.496777	1.497545	1.497161	-0.000129	-0.000384	0.000513	0.911874
14	1.497161	1.497545	1.497353	0.000049	0.000192	-0.000256	0.919011
15	1.497161	1.497353	1.497257	-0.000040	-0.000096	0.000128	0.925079
16	1.497257	1.497353	1.497305	0.000004	0.000048	-0.000064	0.930301
17	1.497257	1.497305	1.497281	-0.000018	-0.000024	0.000032	0.934842
18	1.497281	1.497305	1.497293	-0.000007	0.000012	-0.000016	0.938828
19	1.497293	1.497305	1.497299	-0.000001	0.000006	0.000008	0.942354
20	1.497299	1.497305	1.497302	0.000002	0.000003	0.000004	0.945496
21	1.497299	1.497302	1.497301	0.000000	-0.000001	0.000002	0.948313
22	1.497299	1.497301	1.497300	-0.000001	-0.000001	-0.000001	0.950854
23	1.497300	1.497301	1.497300	-0.000000	0.000000	-0.000001	0.953156
24	1.497300	1.497301	1.497300	-0.000000	0.000000	0.000000	0.955252
