Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.000000	1.500000	-0.993265	0.000000	0.000000	0.000000
 2	0.000000	1.500000	0.750000	1.335413	-0.750000	0.000000	inf
 3	0.750000	1.500000	1.125000	-0.028697	0.375000	-0.666667	0.293305
 4	0.750000	1.125000	0.937500	0.585221	-0.187500	0.400000	0.585928
 5	0.937500	1.125000	1.031250	0.264246	0.093750	-0.181818	0.707177
 6	1.031250	1.125000	1.078125	0.114563	0.046875	0.086957	0.773501
 7	1.078125	1.125000	1.101562	0.042162	0.023438	0.042553	0.815329
 8	1.101562	1.125000	1.113281	0.006544	0.011719	0.021053	0.844116
 9	1.113281	1.125000	1.119141	-0.011123	0.005859	0.010471	0.865139
10	1.113281	1.119141	1.116211	-0.002301	-0.002930	0.005249	0.881165
11	1.113281	1.116211	1.114746	0.002119	-0.001465	-0.002628	0.893787
12	1.114746	1.116211	1.115479	-0.000092	0.000732	-0.001313	0.903985
13	1.114746	1.115479	1.115112	0.001013	-0.000366	0.000657	0.912396
14	1.115112	1.115479	1.115295	0.000460	0.000183	-0.000328	0.919453
15	1.115295	1.115479	1.115387	0.000184	0.000092	0.000164	0.925457
16	1.115387	1.115479	1.115433	0.000046	0.000046	0.000082	0.930628
17	1.115433	1.115479	1.115456	-0.000023	0.000023	0.000041	0.935128
18	1.115433	1.115456	1.115444	0.000012	-0.000011	0.000021	0.939080
19	1.115444	1.115456	1.115450	-0.000006	0.000006	-0.000010	0.942578
20	1.115444	1.115450	1.115447	0.000003	-0.000003	0.000005	0.945697
21	1.115447	1.115450	1.115448	-0.000001	0.000001	-0.000003	0.948494
22	1.115447	1.115448	1.115448	0.000001	-0.000001	0.000001	0.951016
23	1.115448	1.115448	1.115448	-0.000000	0.000000	-0.000001	0.953304
24	1.115448	1.115448	1.115448	0.000000	-0.000000	0.000000	0.955387
