        MODIFIED EULER METHOD                                                                                                          
The given differential equation : dy/dx = 2*(x^2+y)                                                                                    
The actual Equation y = 1.5*exp(2*x)-x^2-x-0.5                                                                                         
x               ycomputed       yactual         Abs.error                                                                              
0.100000        1.221000        1.222104        0.001104                                                                               
0.200000        1.494820        1.497737        0.002917                                                                               
0.300000        1.837480        1.843178        0.005698                                                                               
0.400000        2.268526        2.278311        0.009785                                                                               
0.500000        2.811802        2.827423        0.015621                                                                               
0.600000        3.496398        3.520176        0.023777                                                                               
0.700000        4.357806        4.392800        0.034994                                                                               
0.800000        5.439323        5.489550        0.050226                                                                               
0.900000        6.793775        6.864473        0.070698                                                                               
1.000000        8.485605        8.583587        0.097981                                                                               
    
