Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.000000	1.914935	1.465269	0.000000	0.000000	0.000000
 2	1.914935	3.000000	2.607545	0.466543	0.692610	1.566632	-2.991140
 3	2.607545	3.000000	2.858054	-0.160516	0.250509	0.265617	0.265332
 4	2.607545	2.858054	2.767448	0.080618	-0.090606	0.087650	0.576479
 5	2.767448	2.858054	2.825283	-0.071552	0.057835	-0.032740	0.842490
 6	2.767448	2.825283	2.804364	-0.015787	-0.020918	0.020470	0.737022
 7	2.767448	2.804364	2.791012	0.019381	-0.013352	-0.007459	0.895987
 8	2.791012	2.804364	2.799535	-0.003029	0.008523	-0.004784	0.905786
 9	2.791012	2.799535	2.796452	0.005092	-0.003083	0.003044	0.824113
10	2.796452	2.799535	2.798420	-0.000089	0.001968	-0.001102	0.927951
11	2.796452	2.798420	2.797708	0.001786	-0.000712	0.000703	0.859687
12	2.797708	2.798420	2.798163	0.000589	0.000454	-0.000254	0.941673
13	2.798163	2.798420	2.798327	0.000156	0.000164	0.000162	0.883291
14	2.798327	2.798420	2.798386	-0.000001	0.000059	0.000059	0.895489
15	2.798327	2.798386	2.798365	0.000056	-0.000021	0.000021	0.905378
16	2.798365	2.798386	2.798379	0.000020	0.000014	-0.000008	0.959905
17	2.798379	2.798386	2.798383	0.000007	0.000005	0.000005	0.916734
18	2.798383	2.798386	2.798385	0.000002	0.000002	0.000002	0.923135
19	2.798385	2.798386	2.798386	0.000000	0.000001	0.000001	0.928621
20	2.798386	2.798386	2.798386	-0.000000	0.000000	0.000000	0.933377
