Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.000000	0.048195	0.948264	0.000000	0.000000	0.000000
 2	0.048195	3.000000	0.095617	0.890222	0.047421	62.246603	-0.360356
 3	0.095617	3.000000	0.142276	0.825867	0.046659	0.495951	0.994716
 4	0.142276	3.000000	0.188186	0.755194	0.045910	0.327950	0.994744
 5	0.188186	3.000000	0.233358	0.678204	0.045172	0.243960	0.994771
 6	0.233358	3.000000	0.277804	0.594895	0.044446	0.193575	0.994798
 7	0.277804	3.000000	0.321537	0.505273	0.043732	0.159992	0.994825
 8	0.321537	3.000000	0.364567	0.409343	0.043030	0.136011	0.994852
 9	0.364567	3.000000	0.406905	0.307113	0.042339	0.118030	0.994878
10	0.406905	3.000000	0.448564	0.198593	0.041658	0.104050	0.994904
11	0.448564	3.000000	0.489553	0.083796	0.040989	0.092871	0.994930
12	0.489553	3.000000	0.529883	-0.037265	0.040331	0.083728	0.994956
13	0.489553	0.529883	0.490201	0.081915	-0.039683	0.076112	0.994981
14	0.490201	0.529883	0.490838	0.080063	0.000638	-0.080952	0.438552
15	0.490838	0.529883	0.491465	0.078239	0.000627	0.001299	0.997804
16	0.491465	0.529883	0.492083	0.076442	0.000617	0.001276	0.997809
17	0.492083	0.529883	0.492690	0.074672	0.000607	0.001254	0.997813
18	0.492690	0.529883	0.493287	0.072929	0.000598	0.001233	0.997818
19	0.493287	0.529883	0.493875	0.071212	0.000588	0.001211	0.997823
20	0.493875	0.529883	0.494454	0.069520	0.000578	0.001190	0.997828
21	0.494454	0.529883	0.495023	0.067855	0.000569	0.001170	0.997832
22	0.495023	0.529883	0.495583	0.066214	0.000560	0.001150	0.997837
23	0.495583	0.529883	0.496134	0.064599	0.000551	0.001130	0.997842
24	0.496134	0.529883	0.496676	0.063008	0.000542	0.001111	0.997846
25	0.496676	0.529883	0.497210	0.061441	0.000533	0.001092	0.997851
26	0.497210	0.529883	0.497735	0.059898	0.000525	0.001073	0.997856
27	0.497735	0.529883	0.498251	0.058378	0.000516	0.001055	0.997860
28	0.498251	0.529883	0.498759	0.056881	0.000508	0.001037	0.997865
29	0.498759	0.529883	0.499259	0.055408	0.000500	0.001019	0.997869
30	0.499259	0.529883	0.499751	0.053956	0.000492	0.001002	0.997874
31	0.499751	0.529883	0.500235	0.052527	0.000484	0.000984	0.997878
32	0.500235	0.529883	0.500712	0.051120	0.000476	0.000968	0.997883
33	0.500712	0.529883	0.501180	0.049734	0.000469	0.000951	0.997887
34	0.501180	0.529883	0.501641	0.048369	0.000461	0.000935	0.997892
35	0.501641	0.529883	0.502095	0.047025	0.000454	0.000919	0.997896
36	0.502095	0.529883	0.502542	0.045702	0.000446	0.000904	0.997901
37	0.502542	0.529883	0.502981	0.044399	0.000439	0.000888	0.997905
38	0.502981	0.529883	0.503413	0.043116	0.000432	0.000873	0.997909
39	0.503413	0.529883	0.503838	0.041853	0.000425	0.000859	0.997914
