Itr	lowerbound	upperbound	midpoint	f(midpoint)	abserror	relerror	order
 1	0.000000	3.000000	0.524681	-0.476256	0.000000	0.000000	0.000000
 2	0.524681	3.000000	0.957599	-0.360213	0.432918	5.717760	-1.312234
 3	0.957599	3.000000	1.314802	-0.152610	0.357203	0.452087	0.813257
 4	1.314802	3.000000	1.609532	0.110282	0.294731	0.271678	0.842642
 5	1.314802	1.609532	1.366348	-0.112825	-0.243184	0.183116	0.864037
 6	1.366348	1.609532	1.408880	-0.078041	0.042531	-0.177981	0.447801
 7	1.408880	1.609532	1.443972	-0.047996	0.035093	0.030188	0.942610
 8	1.443972	1.609532	1.472928	-0.022287	0.028955	0.024303	0.945725
 9	1.472928	1.609532	1.496819	-0.000446	0.023891	0.019658	0.948519
10	1.496819	1.609532	1.516532	0.018004	0.019713	0.015961	0.951039
11	1.496819	1.516532	1.500267	0.002753	-0.016265	0.012999	0.953325
12	1.496819	1.500267	1.497422	0.000113	-0.002845	-0.010842	0.702578
13	1.496819	1.497422	1.496924	-0.000348	-0.000498	-0.001900	0.770759
14	1.496924	1.497422	1.497011	-0.000268	0.000087	-0.000332	0.813510
15	1.497011	1.497422	1.497083	-0.000201	0.000072	0.000058	0.979852
16	1.497083	1.497422	1.497143	-0.000146	0.000059	0.000048	0.980250
17	1.497143	1.497422	1.497191	-0.000101	0.000049	0.000040	0.980633
18	1.497191	1.497422	1.497232	-0.000064	0.000040	0.000033	0.981001
19	1.497232	1.497422	1.497265	-0.000033	0.000033	0.000027	0.981355
20	1.497265	1.497422	1.497292	-0.000007	0.000027	0.000022	0.981696
21	1.497292	1.497422	1.497315	0.000014	0.000023	0.000018	0.982025
22	1.497292	1.497315	1.497296	-0.000004	-0.000019	0.000015	0.982343
23	1.497296	1.497315	1.497300	-0.000001	0.000003	-0.000012	0.861960
24	1.497300	1.497315	1.497302	0.000002	0.000003	0.000002	0.985008
25	1.497300	1.497302	1.497300	-0.000000	-0.000002	0.000002	0.985230
26	1.497300	1.497302	1.497301	0.000000	0.000000	-0.000001	0.881864
27	1.497300	1.497301	1.497300	-0.000000	-0.000000	0.000000	0.987142
