Itr	lower	upper	midpoint	fun(midpoint)	abserror	relerror	order
 1	1.000000	4.000000	1.244793	-0.368908	0.000000	0.000000	0.000000
 2	1.000000	1.244793	1.019975	0.301271	-0.224819	3.213384	-0.928865
 3	1.019975	1.244793	1.038319	0.241239	0.018345	-0.220416	0.373263
 4	1.038319	1.244793	1.055167	0.187037	0.016848	0.017668	0.979155
 5	1.055167	1.244793	1.070640	0.138018	0.015473	0.015967	0.979581
 6	1.070640	1.244793	1.084851	0.093625	0.014211	0.014452	0.979990
 7	1.084851	1.244793	1.097902	0.053368	0.013051	0.013099	0.980382
 8	1.097902	1.244793	1.109888	0.016819	0.011986	0.011887	0.980760
 9	1.109888	1.244793	1.120896	-0.016397	0.011008	0.010799	0.981123
10	1.109888	1.120896	1.110786	0.014096	-0.010110	0.009821	0.981473
11	1.110786	1.120896	1.111611	0.011598	0.000825	-0.009101	0.647059
12	1.111611	1.120896	1.112369	0.009304	0.000758	0.000742	0.988154
13	1.112369	1.120896	1.113064	0.007200	0.000696	0.000681	0.988292
14	1.113064	1.120896	1.113703	0.005268	0.000639	0.000625	0.988428
15	1.113703	1.120896	1.114290	0.003495	0.000587	0.000574	0.988560
16	1.114290	1.120896	1.114829	0.001867	0.000539	0.000527	0.988690
17	1.114829	1.120896	1.115324	0.000373	0.000495	0.000483	0.988816
18	1.115324	1.120896	1.115779	-0.000998	0.000455	0.000444	0.988940
19	1.115324	1.115779	1.115361	0.000261	-0.000418	0.000407	0.989061
20	1.115361	1.115779	1.115395	0.000159	0.000034	-0.000374	0.756399
21	1.115395	1.115779	1.115427	0.000064	0.000031	0.000031	0.991793
22	1.115427	1.115779	1.115456	-0.000023	0.000029	0.000028	0.991860
23	1.115427	1.115456	1.115429	0.000057	-0.000026	0.000026	0.991926
24	1.115429	1.115456	1.115431	0.000051	0.000002	-0.000024	0.807950
25	1.115431	1.115456	1.115433	0.000045	0.000002	0.000002	0.993519
26	1.115433	1.115456	1.115435	0.000039	0.000002	0.000002	0.993561
27	1.115435	1.115456	1.115437	0.000034	0.000002	0.000002	0.993602
28	1.115437	1.115456	1.115438	0.000029	0.000002	0.000001	0.993643
29	1.115438	1.115456	1.115440	0.000025	0.000001	0.000001	0.993683
30	1.115440	1.115456	1.115441	0.000021	0.000001	0.000001	0.993722
31	1.115441	1.115456	1.115442	0.000018	0.000001	0.000001	0.993761
32	1.115442	1.115456	1.115443	0.000014	0.000001	0.000001	0.993800
33	1.115443	1.115456	1.115444	0.000011	0.000001	0.000001	0.993838
34	1.115444	1.115456	1.115445	0.000009	0.000001	0.000001	0.993876
35	1.115445	1.115456	1.115446	0.000006	0.000001	0.000001	0.993913
36	1.115446	1.115456	1.115447	0.000004	0.000001	0.000001	0.993950
37	1.115447	1.115456	1.115447	0.000002	0.000001	0.000001	0.993987
38	1.115447	1.115456	1.115448	-0.000000	0.000001	0.000001	0.994023
39	1.115447	1.115448	1.115448	0.000001	-0.000001	0.000001	0.994058
