Enter the lower bound, upper bound and precision:                                                                                              
0                                                                                                                                              
1                                                                                                                                              
0.000001                                                                                                                                       
Iteration       Interval        Previous_sum    Current_sum     Error                                                                          
1               2               0.750000        0.708333        0.041667                                                                       
2               4               0.708333        0.697024        0.011310                                                                       
3               8               0.697024        0.694122        0.002902                                                                       
4               16              0.694122        0.693391        0.000731                                                                       
5               32              0.693391        0.693208        0.000183                                                                       
6               64              0.693208        0.693163        0.000046                                                                       
7               128             0.693163        0.693151        0.000012                                                                       
8               256             0.693151        0.693148        0.000003                                                                       
9               512             0.693148        0.693147        0.000001                                                                       
                                                                                                                                               
Value of integral= 0.693147                                                                                                                    
                              
